"precipitation_classify","number_of_days","avg_daily_rentals"
"01 -> No Precipitation","247","741.9"
"02 -> Precipitation Between .01 and .1 inches","47","553.4"
"03 -> Precipitation Between .11 and .2 inches","21","714.0"
"04 -> Precipitation Between .21 and .3 inches","12","634.8"
"05 -> Precipitation Between .31 and .4 inches","6","551.0"
"06 -> Precipitation Between .41 and .5 inches","10","456.3"
"07 -> Precipitation Between .51 and .6 inches","5","472.4"
"08 -> Precipitation Between .61 and .7 inches","3","369.0"
"09 -> Precipitation Between .71 and .8 inches","2","379.5"
"10 -> Precipitation Between .81 and .9 inches","1","769.0"
"11 -> Precipitation Between .91 and 1.0 inches","3","420.7"
"12 -> Precipitation Greater than 1 inch","9","452.8"
