index|station_id|station_name|date|average_wind_speed|precipitation|snowfall|snow_depth|temperature_avg|temperature_max|temperature_min
0|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-01|12.75|0.0|0.0|0.0|41|43|34
1|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-02|9.4|0.0|0.0|0.0|36|42|30
2|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-03|10.29|0.0|0.0|0.0|37|47|28
3|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-04|17.22|0.0|0.0|0.0|32|35|14
4|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-05|9.84|0.0|0.0|0.0|19|31|10
5|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-06|5.37|0.0|0.0|0.0|28|42|15
6|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-07|3.36|0.0|0.0|0.0|35|46|24
7|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-08|8.05|0.0|0.0|0.0|38|45|31
8|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-09|6.71|0.01|0.0|0.0|44|48|38
9|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-10|15.43|1.77|0.0|0.0|53|65|39
10|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-11|16.33|0.0|0.0|0.0|36|39|24
11|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-12|8.72|0.01|0.0|0.0|31|44|22
12|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-13|18.12|0.0|0.0|0.0|27|31|22
13|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-14|8.05|0.0|0.0|0.0|28|39|23
14|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-15|3.8|0.0|0.0|0.0|38|49|29
15|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-01-16|11.63|0.26|0.0|0.0|47|55|42
